t(ticks) ; id_viat ; destin ; t_estacion ;  t_vida  ; observ
7649500  ; 14745   ; N      ; 90         ; 11025    ; saiu
7655505  ; 14752   ; S      ; 30         ; ?        ; cheio
7656457  ; 14746   ; O      ; 80         ; ?        ; entrou
7657857  ; 14744   ; O      ; 100        ; ?        ; entrou
7657893  ; 14746   ; O      ; 80         ; 17661    ; saiu
7660756  ; 14757   ; S      ; 20         ; ?        ; entrou
7659513  ; 14744   ; O      ; 100        ; 23255    ; saiu
7663924  ; 14755   ; E      ; 90         ; ?        ; entrou
7664420  ; 14757   ; S      ; 20         ; 9327     ; saiu
7667711  ; 14755   ; E      ; 90         ; 16969    ; saiu
7670530  ; 14760   ; O      ; 40         ; ?        ; entrou
7670923  ; 14761   ; E      ; 30         ; ?        ; cheio
7672268  ; 14760   ; O      ; 40         ; 12755    ; saiu
7683161  ; 14767   ; N      ; 70         ; ?        ; entrou
7684316  ; 14767   ; N      ; 70         ; 10236    ; saiu
7687130  ; 14766   ; E      ; 10         ; ?        ; entrou
7687686  ; 14765   ; E      ; 100        ; ?        ; cheio
7692249  ; 14784   ; N      ; 60         ; ?        ; entrou
7691748  ; 14766   ; E      ; 10         ; 20164    ; saiu
7694797  ; 14784   ; N      ; 60         ; 7119     ; saiu
7697314  ; 14790   ; S      ; 60         ; ?        ; entrou
7698349  ; 14790   ; S      ; 60         ; 4970     ; saiu
7699277  ; 14792   ; N      ; 40         ; ?        ; entrou
7701245  ; 14792   ; N      ; 40         ; 6735     ; saiu
7704587  ; 14794   ; O      ; 40         ; ?        ; entrou
7708789  ; 14796   ; E      ; 60         ; ?        ; entrou
7705264  ; 14794   ; O      ; 40         ; 9345     ; saiu
7709387  ; 14796   ; E      ; 60         ; 6433     ; saiu
7725044  ; 14802   ; O      ; 90         ; ?        ; entrou
7726812  ; 14801   ; N      ; 10         ; ?        ; entrou
7726619  ; 14802   ; O      ; 90         ; 15720    ; saiu
7731185  ; 14801   ; N      ; 10         ; 23337    ; saiu
7737879  ; 14831   ; O      ; 80         ; ?        ; entrou
7737883  ; 14834   ; O      ; 10         ; ?        ; cheio
7740420  ; 14831   ; O      ; 80         ; 11147    ; saiu
7745206  ; 14841   ; O      ; 50         ; ?        ; entrou
7746502  ; 14843   ; S      ; 30         ; ?        ; cheio
7747777  ; 14841   ; O      ; 50         ; 8017     ; saiu
7751129  ; 14850   ; O      ; 90         ; ?        ; entrou
7752874  ; 14851   ; S      ; 10         ; ?        ; entrou
7754227  ; 14851   ; S      ; 10         ; 6225     ; saiu
7752873  ; 14850   ; O      ; 90         ; 6649     ; saiu
7804589  ; 14909   ; S      ; 60         ; ?        ; entrou
7805202  ; 14909   ; S      ; 60         ; 3862     ; saiu
7811348  ; 14915   ; S      ; 60         ; ?        ; entrou
7813486  ; 14915   ; S      ; 60         ; 8097     ; saiu
7817674  ; 14922   ; O      ; 70         ; ?        ; entrou
7818825  ; 14922   ; O      ; 70         ; 8001     ; saiu
7859096  ; 14930   ; E      ; 20         ; ?        ; entrou
7859598  ; 14948   ; O      ; 90         ; ?        ; cheio
7861460  ; 14930   ; E      ; 20         ; 42310    ; saiu
7863972  ; 14975   ; N      ; 20         ; ?        ; entrou
7865139  ; 14975   ; N      ; 20         ; 4285     ; saiu
7870500  ; 14979   ; S      ; 50         ; ?        ; entrou
7871312  ; 14976   ; S      ; 60         ; ?        ; entrou
7871443  ; 14979   ; S      ; 50         ; 5553     ; saiu
7874795  ; 14981   ; E      ; 10         ; ?        ; entrou
7873096  ; 14976   ; S      ; 60         ; 9892     ; saiu
7879610  ; 14981   ; E      ; 10         ; 11024    ; saiu
7903655  ; 15011   ; S      ; 30         ; ?        ; entrou
7904606  ; 15011   ; S      ; 30         ; 5887     ; saiu
7907888  ; 15014   ; N      ; 10         ; ?        ; entrou
7910241  ; 15014   ; N      ; 10         ; 8476     ; saiu
7933388  ; 14984   ; N      ; 40         ; ?        ; cheio
7933431  ; 14992   ; E      ; 80         ; ?        ; entrou
7934827  ; 14992   ; E      ; 80         ; 53485    ; saiu
7937518  ; 15017   ; O      ; 60         ; ?        ; entrou
