t(ticks) ; nlug ; id_viat ; observ
6928197  ; 0    ; 12622   ; saiu
6939115  ; 1    ; 12630   ; entrou
6940008  ; 0    ; 12630   ; saiu
6945547  ; 1    ; 12633   ; entrou
6947092  ; 0    ; 12633   ; saiu
6948773  ; 1    ; 12634   ; entrou
6949442  ; 0    ; 12634   ; saiu
6960749  ; 1    ; 12646   ; entrou
6962085  ; 0    ; 12646   ; saiu
6970379  ; 1    ; 12626   ; entrou
6972067  ; 1    ; 12625   ; cheio
6973506  ; 1    ; 12627   ; cheio
6973914  ; 1    ; 12629   ; cheio
6974224  ; 0    ; 12626   ; saiu
6975943  ; 1    ; 12662   ; entrou
6976748  ; 1    ; 12635   ; cheio
6979367  ; 0    ; 12662   ; saiu
6981504  ; 1    ; 12664   ; entrou
6991649  ; 0    ; 12664   ; saiu
7022827  ; 1    ; 12666   ; entrou
7024095  ; 0    ; 12666   ; saiu
7027179  ; 1    ; 12651   ; entrou
7028943  ; 0    ; 12651   ; saiu
7028925  ; 1    ; 12667   ; entrou
7030618  ; 1    ; 12668   ; cheio
7031366  ; 0    ; 12667   ; saiu
7033275  ; 1    ; 12669   ; entrou
7034663  ; 1    ; 12673   ; cheio
7034886  ; 1    ; 12670   ; cheio
7035666  ; 0    ; 12669   ; saiu
7035712  ; 1    ; 12671   ; entrou
7035928  ; 1    ; 12689   ; cheio
7036645  ; 0    ; 12671   ; saiu
7043853  ; 1    ; 12715   ; entrou
7043826  ; 1    ; 12716   ; cheio
7045249  ; 0    ; 12715   ; saiu
7045421  ; 1    ; 12717   ; entrou
7047004  ; 1    ; 12718   ; cheio
7048918  ; 0    ; 12717   ; saiu
7118937  ; 1    ; 12730   ; entrou
7119546  ; 1    ; 12731   ; cheio
7122417  ; 0    ; 12730   ; saiu
7155341  ; 1    ; 12736   ; entrou
7157512  ; 0    ; 12736   ; saiu
7158261  ; 1    ; 12733   ; entrou
7159997  ; 0    ; 12733   ; saiu
7166539  ; 1    ; 12790   ; entrou
7167096  ; 0    ; 12790   ; saiu
7188304  ; 1    ; 12782   ; entrou
7188868  ; 1    ; 12783   ; cheio
7196129  ; 0    ; 12782   ; saiu
7196132  ; 1    ; 12780   ; entrou
7196904  ; 0    ; 12780   ; saiu
7197775  ; 1    ; 12824   ; entrou
7198466  ; 0    ; 12824   ; saiu
7202634  ; 1    ; 12787   ; entrou
7220142  ; 0    ; 12787   ; saiu
